x,y,demand,open,close,servicetime,drone_serve,time
100.0,100.0,0.0,0.0,765.0,0.0,1,0.0
41.0,182.0,30.0,101.0,221.0,10.0,0,0.65
86.0,69.0,14.0,131.0,251.0,10.0,0,0.79
63.0,58.0,20.0,55.0,175.0,10.0,0,2.46
165.0,117.0,10.0,73.0,193.0,10.0,1,3.04
100.0,70.0,30.0,30.0,150.0,10.0,0,3.36
85.0,110.0,10.0,18.0,138.0,10.0,1,3.39
155.0,17.0,32.0,99.0,219.0,10.0,0,4.72
154.0,59.0,17.0,67.0,187.0,10.0,0,6.85
60.0,51.0,20.0,63.0,183.0,10.0,0,8.51
41.0,186.0,27.0,104.0,224.0,10.0,0,13.35
178.0,123.0,30.0,81.0,201.0,10.0,0,14.13
187.0,92.0,20.0,87.0,207.0,10.0,0,14.3
186.0,91.0,10.0,86.0,206.0,10.0,1,15.01
78.0,119.0,30.0,29.0,149.0,10.0,0,16.38
13.0,81.0,30.0,103.0,223.0,10.0,0,17.96
84.0,118.0,20.0,53.0,173.0,10.0,0,19.72
10.0,153.0,20.0,104.0,224.0,10.0,0,20.43
54.0,30.0,10.0,105.0,225.0,10.0,1,20.7
119.0,37.0,20.0,123.0,243.0,10.0,0,20.8
80.0,167.0,10.0,177.0,297.0,10.0,1,22.03
55.0,24.0,10.0,88.0,208.0,10.0,1,22.29
103.0,66.0,20.0,40.0,160.0,10.0,0,25.48
83.0,118.0,20.0,42.0,162.0,10.0,0,28.31
197.0,113.0,20.0,97.0,217.0,10.0,0,29.87
93.0,13.0,30.0,100.0,220.0,10.0,0,32.67
197.0,140.0,10.0,104.0,224.0,10.0,1,32.81
60.0,153.0,11.0,66.0,186.0,10.0,0,38.94
5.0,162.0,26.0,113.0,233.0,10.0,0,39.55
64.0,52.0,20.0,116.0,236.0,10.0,0,39.82
83.0,188.0,30.0,89.0,209.0,10.0,0,42.99
26.0,147.0,20.0,87.0,207.0,10.0,0,46.02
55.0,87.0,30.0,158.0,278.0,10.0,0,46.17
188.0,125.0,10.0,91.0,211.0,10.0,1,48.7
141.0,8.0,20.0,100.0,220.0,10.0,0,48.78
181.0,89.0,10.0,81.0,201.0,10.0,1,49.01
82.0,194.0,10.0,131.0,251.0,10.0,1,49.38
143.0,179.0,24.0,226.0,346.0,10.0,0,49.44
185.0,124.0,10.0,88.0,208.0,10.0,1,51.25
140.0,11.0,10.0,97.0,217.0,10.0,1,51.81
16.0,84.0,20.0,128.0,248.0,10.0,0,52.51
189.0,95.0,10.0,89.0,209.0,10.0,1,53.73
52.0,38.0,30.0,78.0,198.0,10.0,0,54.47
18.0,89.0,10.0,82.0,202.0,10.0,1,55.89
151.0,66.0,11.0,61.0,181.0,10.0,0,56.21
22.0,133.0,10.0,127.0,247.0,10.0,1,56.57
68.0,50.0,10.0,91.0,211.0,10.0,1,59.11
87.0,30.0,10.0,143.0,263.0,10.0,1,59.35
100.0,6.0,30.0,94.0,214.0,10.0,0,61.19
12.0,154.0,10.0,103.0,223.0,10.0,1,61.89
38.0,190.0,10.0,109.0,229.0,10.0,1,63.28
139.0,7.0,20.0,100.0,220.0,10.0,0,64.4
26.0,138.0,10.0,143.0,263.0,10.0,1,66.31
165.0,181.0,22.0,103.0,223.0,10.0,0,67.16
180.0,147.0,10.0,100.0,220.0,10.0,1,68.9
159.0,196.0,6.0,193.0,313.0,10.0,1,70.03
199.0,115.0,20.0,100.0,220.0,10.0,0,71.41
187.0,142.0,10.0,96.0,216.0,10.0,1,72.45
87.0,191.0,10.0,91.0,211.0,10.0,1,76.7
66.0,58.0,20.0,154.0,274.0,10.0,0,77.06
178.0,147.0,10.0,112.0,232.0,10.0,1,77.4
151.0,132.0,6.0,120.0,240.0,10.0,1,77.61
35.0,160.0,16.0,88.0,208.0,10.0,0,78.28
113.0,100.0,5.0,185.0,305.0,10.0,1,81.14
23.0,137.0,20.0,113.0,233.0,10.0,0,83.95
20.0,72.0,21.0,206.0,326.0,10.0,0,89.46
11.0,151.0,20.0,102.0,222.0,10.0,0,92.21
148.0,157.0,21.0,273.0,393.0,10.0,0,98.15
7.0,152.0,10.0,127.0,247.0,10.0,1,100.99
78.0,169.0,10.0,243.0,363.0,10.0,1,102.19
114.0,122.0,10.0,168.0,288.0,10.0,1,122.42
78.0,184.0,20.0,164.0,284.0,10.0,0,131.87
24.0,131.0,31.0,264.0,384.0,10.0,0,133.42
134.0,6.0,20.0,192.0,312.0,10.0,0,133.63
79.0,193.0,30.0,144.0,264.0,10.0,0,136.7
23.0,176.0,20.0,308.0,428.0,10.0,0,141.36
28.0,77.0,12.0,175.0,295.0,10.0,0,151.16
162.0,162.0,20.0,298.0,418.0,10.0,0,155.58
37.0,146.0,10.0,265.0,385.0,10.0,1,157.08
46.0,131.0,21.0,296.0,416.0,10.0,0,195.8
105.0,26.0,24.0,278.0,398.0,10.0,0,226.09
80.0,190.0,13.0,399.0,519.0,10.0,0,247.38
45.0,142.0,15.0,423.0,543.0,10.0,0,291.85
46.0,22.0,10.0,359.0,479.0,10.0,1,294.05
110.0,8.0,26.0,433.0,553.0,10.0,0,304.16
161.0,158.0,24.0,348.0,468.0,10.0,0,327.78
88.0,143.0,17.0,476.0,596.0,10.0,0,340.97
10.0,20.0,14.0,515.0,635.0,10.0,0,345.85
158.0,81.0,23.0,464.0,584.0,10.0,0,353.84
111.0,189.0,3.0,458.0,578.0,10.0,1,360.36
89.0,176.0,13.0,382.0,502.0,10.0,0,362.42
68.0,115.0,20.0,520.0,640.0,10.0,0,379.27
69.0,150.0,17.0,519.0,639.0,10.0,0,397.24
158.0,20.0,19.0,527.0,647.0,10.0,0,439.75
127.0,143.0,7.0,496.0,616.0,10.0,1,441.73
144.0,92.0,23.0,466.0,586.0,10.0,0,442.51
131.0,136.0,18.0,586.0,706.0,10.0,0,443.3
104.0,88.0,25.0,623.0,743.0,10.0,0,445.15
181.0,70.0,25.0,480.0,600.0,10.0,0,452.57
54.0,37.0,21.0,557.0,677.0,10.0,0,530.46
139.0,97.0,4.0,580.0,700.0,10.0,1,557.89
