x,y,demand,open,close,servicetime,drone_serve,time
70.0,70.0,0.0,0.0,2535.0,0.0,1,0.0
79.0,72.0,22.0,9.0,147.0,10.0,0,2.84
85.0,75.0,37.0,22.0,186.0,10.0,0,3.18
78.0,63.0,19.0,10.0,128.0,10.0,0,3.85
54.0,33.0,20.0,118.0,204.0,10.0,0,23.5
44.0,58.0,30.0,47.0,182.0,10.0,0,29.91
81.0,57.0,8.0,33.0,104.0,10.0,1,31.45
86.0,40.0,22.0,80.0,192.0,10.0,0,31.94
29.0,60.0,14.0,138.0,199.0,10.0,0,33.2
107.0,77.0,34.0,83.0,219.0,10.0,0,44.82
78.0,111.0,22.0,112.0,222.0,10.0,0,60.61
104.0,54.0,13.0,208.0,333.0,10.0,0,65.09
48.0,47.0,19.0,94.0,161.0,10.0,0,67.69
82.0,103.0,15.0,155.0,243.0,10.0,0,97.46
103.0,44.0,12.0,107.0,229.0,10.0,0,100.97
64.0,132.0,8.0,168.0,411.0,10.0,1,112.51
42.0,29.0,12.0,238.0,362.0,10.0,0,143.61
12.0,48.0,4.0,234.0,351.0,10.0,1,165.05
114.0,109.0,16.0,326.0,412.0,10.0,0,179.25
44.0,116.0,27.0,199.0,345.0,10.0,0,180.94
41.0,36.0,13.0,203.0,328.0,10.0,0,186.56
139.0,73.0,10.0,339.0,477.0,10.0,1,196.24
139.0,68.0,25.0,275.0,472.0,10.0,0,200.86
90.0,44.0,6.0,240.0,298.0,10.0,1,221.41
39.0,100.0,31.0,274.0,374.0,10.0,0,228.6
140.0,42.0,13.0,412.0,512.0,10.0,0,232.92
99.0,34.0,9.0,295.0,432.0,10.0,1,233.07
33.0,117.0,20.0,365.0,507.0,10.0,0,341.63
137.0,137.0,27.0,378.0,539.0,10.0,0,352.64
104.0,32.0,18.0,528.0,670.0,10.0,0,361.8
120.0,22.0,39.0,440.0,591.0,10.0,0,362.53
32.0,6.0,11.0,401.0,479.0,10.0,0,397.08
132.0,133.0,24.0,571.0,667.0,10.0,0,423.56
109.0,139.0,8.0,469.0,555.0,10.0,1,441.81
121.0,124.0,21.0,575.0,744.0,10.0,0,492.78
32.0,52.0,32.0,557.0,771.0,10.0,0,520.23
113.0,32.0,36.0,589.0,683.0,10.0,0,564.7
73.0,96.0,9.0,656.0,793.0,10.0,1,566.6
34.0,20.0,15.0,636.0,689.0,10.0,0,589.18
102.0,52.0,15.0,625.0,766.0,10.0,0,604.05
137.0,7.0,40.0,631.0,735.0,10.0,0,607.0
98.0,4.0,20.0,694.0,847.0,10.0,0,646.43
137.0,101.0,12.0,720.0,755.0,10.0,0,660.99
133.0,130.0,13.0,900.0,998.0,10.0,0,734.85
63.0,129.0,7.0,817.0,954.0,10.0,1,747.03
30.0,57.0,20.0,912.0,1050.0,10.0,0,756.01
37.0,138.0,5.0,866.0,932.0,10.0,1,757.09
107.0,102.0,12.0,859.0,1015.0,10.0,0,773.55
69.0,115.0,20.0,836.0,1006.0,10.0,0,776.63
22.0,104.0,11.0,952.0,1018.0,10.0,0,782.24
109.0,131.0,16.0,899.0,1031.0,10.0,0,791.71
38.0,122.0,13.0,941.0,1052.0,10.0,0,814.93
105.0,2.0,1.0,891.0,1019.0,10.0,1,820.72
83.0,12.0,29.0,911.0,1050.0,10.0,0,838.0
121.0,123.0,9.0,1009.0,1167.0,10.0,1,874.8
120.0,14.0,20.0,1030.0,1159.0,10.0,0,903.64
104.0,73.0,17.0,990.0,1124.0,10.0,0,935.15
107.0,25.0,13.0,1133.0,1176.0,10.0,0,958.22
54.0,106.0,9.0,1204.0,1270.0,10.0,1,1024.91
46.0,112.0,10.0,1133.0,1274.0,10.0,1,1025.9
103.0,77.0,17.0,1203.0,1242.0,10.0,0,1078.85
56.0,139.0,18.0,1284.0,1314.0,10.0,0,1108.35
50.0,106.0,25.0,1254.0,1429.0,10.0,0,1113.79
89.0,24.0,15.0,1226.0,1302.0,10.0,0,1118.79
47.0,83.0,1.0,1280.0,1381.0,10.0,1,1143.81
59.0,115.0,26.0,1239.0,1392.0,10.0,0,1185.85
37.0,125.0,10.0,1328.0,1540.0,10.0,1,1200.26
106.0,10.0,13.0,1229.0,1282.0,10.0,0,1212.83
18.0,104.0,18.0,1350.0,1463.0,10.0,0,1215.91
69.0,116.0,26.0,1381.0,1493.0,10.0,0,1259.89
103.0,119.0,18.0,1329.0,1463.0,10.0,0,1268.9
9.0,19.0,10.0,1472.0,1631.0,10.0,1,1310.49
86.0,80.0,21.0,1464.0,1652.0,10.0,0,1362.24
84.0,88.0,16.0,1428.0,1541.0,10.0,0,1378.86
13.0,129.0,25.0,1414.0,1517.0,10.0,0,1405.78
120.0,52.0,20.0,1517.0,1598.0,10.0,0,1411.15
16.0,92.0,10.0,1430.0,1561.0,10.0,1,1429.77
20.0,69.0,13.0,1472.0,1673.0,10.0,0,1436.37
39.0,13.0,20.0,1490.0,1637.0,10.0,0,1471.48
36.0,54.0,15.0,1482.0,1614.0,10.0,0,1475.77
