x,y,demand,open,close,servicetime,drone_serve,time,profit,type
70.0,70.0,0.0,0.0,634.0,0.0,1,0.0,13.978297675981242,0.0
25.380613958766766,84.1379077200361,6.264849059662353,0.0,587.0,10.0,0,0.0,10.893185099946999,1.0
15.57087706419075,46.35916826663938,0.9351703215162056,0.0,550.0,10.0,0,0.0,7.902068101207323,1.0
86.0,40.0,22.0,0.0,590.0,10.0,0,0.0,4.392806278719432,0.0
63.91944550753441,84.95049929719231,31.803992856040267,0.0,558.0,10.0,0,0.0,5.572538519233152,1.0
44.0,116.0,27.0,0.0,572.0,10.0,0,0.0,5.130355932010649,0.0
102.0,52.0,15.0,0.0,588.0,10.0,0,0.0,3.1506843467669463,0.0
132.0,133.0,24.0,0.0,536.0,10.0,0,0.0,15.18029437412809,0.0
129.0,24.0,18.0,0.0,550.0,10.0,0,0.0,13.79952664173661,0.0
90.0,14.0,31.0,0.0,565.0,10.0,0,0.0,6.371108257292618,0.0
101.0,0.0,9.0,0.0,548.0,10.0,1,0.0,18.617371290901705,0.0
115.0,82.0,30.0,0.0,578.0,10.0,0,0.0,9.100560147702987,0.0
128.0693888222079,56.454739832881124,0.3408517576050679,0.0,612.0,10.0,0,0.0,6.843066297405771,1.0
16.0,92.0,10.0,0.0,566.0,10.0,1,0.0,8.25353849410833,0.0
22.0,104.0,11.0,0.0,566.0,10.0,0,0.0,3.903753447288277,0.0
104.0,54.0,13.0,0.0,587.0,10.0,0,0.0,2.0450511265327442,0.0
104.0,139.0,29.0,0.0,548.0,10.0,0,0.0,6.232572019420136,0.0
29.23524166631087,121.1448194308421,38.519325318244476,0.0,585.0,10.0,1,0.0,9.472040119230556,1.0
140.0,42.0,13.0,0.0,549.0,10.0,0,0.0,7.045257673591056,0.0
52.96636433659018,112.22783372764032,40.51416175563592,0.0,591.0,10.0,1,0.0,6.498066989571656,1.0
103.0,119.0,18.0,0.0,565.0,10.0,0,0.0,19.34807559725528,0.0
112.0,13.0,27.0,0.0,554.0,10.0,0,0.0,12.16274826586398,0.0
73.0,96.0,9.0,0.0,598.0,10.0,1,0.0,3.587587772995777,0.0
67.0,96.0,26.0,0.0,598.0,10.0,0,0.0,3.9688042359885447,0.0
121.65481027050828,58.68288899569631,21.380018722796876,0.0,553.0,10.0,0,0.0,6.375492873219859,1.0
97.0,12.0,10.0,0.0,561.0,10.0,1,0.0,9.165242503264615,0.0
55.0,127.0,17.0,0.0,566.0,10.0,0,0.0,8.562649981475115,0.0
8.0,87.0,17.0,0.0,560.0,10.0,0,0.0,2.405618835543882,0.0
60.0,84.0,23.0,0.0,607.0,10.0,0,0.0,4.789730491319015,0.0
57.93828357841968,5.707746625293153,27.400450159234563,0.0,589.0,10.0,0,0.0,13.853166817124622,1.0
43.148664796185614,17.874230344895356,16.530769461099602,0.0,563.0,10.0,0,0.0,3.1940329169496273,1.0
37.0,73.0,33.0,0.0,591.0,10.0,0,0.0,19.581056361670697,0.0
134.228997074932,56.404660312327664,20.039425782556805,0.0,561.0,10.0,0,0.0,5.511178175945286,1.0
88.8551424762912,65.16640833575705,5.447824123327935,0.0,543.0,10.0,1,0.0,6.968249674704664,1.0
49.0,140.0,3.0,0.0,551.0,10.0,1,0.0,8.934236305050915,0.0
133.1109581484377,112.16942149643833,41.72373084043547,0.0,579.0,10.0,0,0.0,6.39911722806786,1.0
